Symbol,Series,ISIN
GLOBOFFS,EQ,INE446C01013
GLOBUSSPR,EQ,INE615I01010
GMBREW,EQ,INE075D01018
GMDCLTD,EQ,INE131A01031
GMRINFRA,EQ,INE776C01039
GNA,EQ,INE934S01014
GNFC,EQ,INE113A01013
GOACARBON,EQ,INE426D01013
GOCLCORP,EQ,INE077F01035
GODFRYPHLP,EQ,INE260B01028
GODREJAGRO,EQ,INE850D01014
GODREJCP,EQ,INE102D01028
GODREJIND,EQ,INE233A01035
GODREJPROP,EQ,INE484J01027
GOENKA,BZ,INE516K01024
GOKEX,EQ,INE887G01027
GOKUL,EQ,INE020J01029
GOKULAGRO,EQ,INE314T01025
GOLDBEES,EQ,INF732E01102
GOLDENTOBC,BE,INE973A01010
GOLDIAM,EQ,INE025B01017
GOLDINFRA,BE,INE260D01016
GOLDIWIN,EQ,INF109KB1WF4
GOLDSHARE,EQ,INF789F01059
GOLDSTAR,SM,INE405Y01013
GOLDTECH,BE,INE805A01014
GOODLUCK,EQ,INE127I01024
GPIL,BE,INE177H01013
GPPL,EQ,INE517F01014
GPTINFRA,EQ,INE390G01014
GRANULES,EQ,INE101D01020
GRAPHITE,EQ,INE371A01025
GRASIM,EQ,INE047A01021
GRAVITA,EQ,INE024L01027
GREAVESCOT,EQ,INE224A01026
GREENLAM,EQ,INE544R01013
GREENPLY,EQ,INE461C01038
GREENPOWER,EQ,INE999K01014
GRINDWELL,EQ,INE536A01023
GROBTEA,BE,INE646C01018
GRPLTD,EQ,INE137I01015
GRUH,EQ,INE580B01029
GSCLCEMENT,BE,INE542A01039
GSFC,EQ,INE026A01025
GSKCONS,EQ,INE264A01014
GSPL,EQ,INE246F01010
GSS,EQ,INE871H01011
GTL,EQ,INE043A01012
GTLINFRA,EQ,INE221H01019
GTNIND,EQ,INE537A01013
GTNTEX,EQ,INE302H01017
GTPL,EQ,INE869I01013
GUFICBIO,EQ,INE742B01025
GUJALKALI,EQ,INE186A01019
GUJAPOLLO,EQ,INE826C01016
GUJFLUORO,EQ,INE538A01037
GUJGASLTD,EQ,INE844O01022
GUJNRECOKE,BE,INE110D01013
GUJNREDVR,BE,IN9110D01011
GULFOILLUB,EQ,INE635Q01029
GULFPETRO,EQ,INE586G01017
GULPOLY,EQ,INE255D01024
GVKPIL,BE,INE251H01024
HANUNG,BE,INE648H01013
HARITASEAT,EQ,INE939D01015
HARRMALAYA,EQ,INE544A01019
HATHWAY,EQ,INE982F01036
HATSUN,EQ,INE473B01035
HAVELLS,EQ,INE176B01034
HBLPOWER,EQ,INE292B01021
HBSTOCK,EQ,INE550B01014
HCC,EQ,INE549A01026
HCG,EQ,INE075I01017
HCL-INSYS,EQ,INE236A01020
HCLTECH,EQ,INE860A01027
HDFC,EQ,INE001A01036
HDFC,W2,INE001A13031
HDFCBANK,EQ,INE040A01026
HDFCMFGETF,EQ,INF179K01CN1
HDFCNIFETF,EQ,INF179KB1KP3
HDFCSENETF,EQ,INF179KB1KQ1
HDIL,EQ,INE191I01012
HEG,EQ,INE545A01016
HEIDELBERG,EQ,INE578A01017
HEOF1100RG,MF,INF179KB1V39
HERCULES,EQ,INE688E01024
HERITGFOOD,EQ,INE978A01027
HEROMOTOCO,EQ,INE158A01026
HESTERBIO,EQ,INE782E01017
HEXATRADEX,BE,INE750M01017
HEXAWARE,EQ,INE093A01033
HFCL,EQ,INE548A01028
HGS,EQ,INE170I01016
HIGHGROUND,EQ,INE361M01021
HIKAL,EQ,INE475B01022
HIL,EQ,INE557A01011
HILTON,EQ,INE788H01017
HIMATSEIDE,EQ,INE049A01027
HINDALCO,EQ,INE038A01020
HINDCOMPOS,EQ,INE310C01029
HINDCOPPER,EQ,INE531E01026
HINDMOTORS,EQ,INE253A01025
HINDNATGLS,EQ,INE952A01022
HINDOILEXP,EQ,INE345A01011
HINDPETRO,EQ,INE094A01015
HINDUJAVEN,EQ,INE353A01023
HINDUNILVR,EQ,INE030A01027
HINDZINC,EQ,INE267A01025
HIRECT,BE,INE835D01023
HISARMETAL,EQ,INE598C01011
HITECH,SM,INE106T01017
HITECHCORP,EQ,INE120D01012
HITECHGEAR,EQ,INE127B01011
HMT,BZ,INE262A01018
HMVL,EQ,INE871K01015
HNGSNGBEES,EQ,INF732E01227
HONAUT,EQ,INE671A01010
HONDAPOWER,EQ,INE634A01018
HOTELEELA,EQ,INE102A01024
HOVS,EQ,INE596H01014
HPL,EQ,INE495S01016
HSCL,EQ,INE019C01026
HSIL,EQ,INE415A01038
HTMEDIA,EQ,INE501G01024
HUBTOWN,EQ,INE703H01016
HUDCO,EQ,INE031A01017
HUDCO,N2,INE031A07840
HUDCO,N3,INE031A07832
HUDCO,N4,INE031A07857
HUDCO,N5,INE031A07865
HUDCO,N8,INE031A07AO5
HUDCO,N9,INE031A07AT4
HUDCO,NE,INE031A07AB2
IBREALEST,EQ,INE069I01010
IBULHSGFIN,EQ,INE148I01020
IBULHSGFIN,N7,INE148I07GH1
IBULHSGFIN,N8,INE148I07GJ7
IBULHSGFIN,NA,INE148I07GL3
IBVENTURES,EQ,INE274G01010
ICICIBANK,EQ,INE090A01021
ICICIGI,EQ,INE765G01017
ICICIPRULI,EQ,INE726G01019
ICIL,EQ,INE483B01026
ICRA,EQ,INE725G01011
ICSA,EQ,INE306B01029
IDBI,EQ,INE008A01015
IDBIGOLD,EQ,INF397L01554
IDEA,EQ,INE669E01016
IDFC,EQ,INE043D01016
IDFCBANK,EQ,INE092T01019
IDFCBANK,N1,INE092T08CC6
IDFCBANK,N2,INE092T08CD4
IDFCBANK,N4,INE092T08CF9
IDFCBANK,N5,INE092T08CG7
IDFCBANK,N6,INE092T08CH5
IDFCBANK,NA,INE092T08CL7
IDFCBANK,NB,INE092T08CM5
IDFCBANK,NC,INE092T08CN3
IDFCBANK,ND,INE092T08CO1
IDFCBANK,NE,INE092T08CP8
IDFNIFTYET,EQ,INF194KA1U07
IFBAGRO,EQ,INE076C01018
IFBIND,EQ,INE559A01017
IFCI,EQ,INE039A01010
IFCI,NC,INE039A07751
IFCI,NH,INE039A07801
IFCI,NL,INE039A07843
IFCI,NM,INE039A07850
IGARASHI,EQ,INE188B01013
IGL,EQ,INE203G01019
IGPL,EQ,INE204A01010
IIFCL,N2,INE787H07354
IIFL,EQ,INE530B01024
IIFLFIN,N5,INE866I08139
IIFLFIN,N6,INE866I08147
IIFLFIN,N7,INE866I08154
IIFLFIN,NA,INE866I07594
IIHFL,N1,INE477L07040
IIHFL,N2,INE477L08014
IITL,EQ,INE886A01014
IL&FSENGG,EQ,INE369I01014
IL&FSTRANS,EQ,INE975G01012
IMFA,EQ,INE919H01018
IMPAL,EQ,INE547E01014
INDBANK,EQ,INE841B01017
INDHOTEL,EQ,INE053A01029
INDIACEM,EQ,INE383A01012
INDIAGLYCO,EQ,INE560A01015
INDIANB,EQ,INE562A01011
INDIANCARD,EQ,INE061A01014
INDIANHUME,EQ,INE323C01030
INDIGO,EQ,INE646L01027
INDIGRID,IV,INE219X23014
INDLMETER,EQ,INE065B01013
INDNIPPON,EQ,INE092B01017
INDOCO,EQ,INE873D01024
INDORAMA,EQ,INE156A01020
INDOSOLAR,EQ,INE866K01015
INDOTECH,EQ,INE332H01014
INDOTHAI,EQ,INE337M01013
INDOWIND,EQ,INE227G01018
INDRAMEDCO,EQ,INE681B01017
INDSWFTLAB,EQ,INE915B01019
INDSWFTLTD,EQ,INE788B01028
INDTERRAIN,EQ,INE611L01021
INDUSINDBK,EQ,INE095A01012
INEOSSTYRO,EQ,INE189B01011
INFIBEAM,EQ,INE483S01020
INFINITE,EQ,INE486J01014
INFOBEAN,SM,INE344S01016
INFOMEDIA,BE,INE669A01022
INFRABEES,EQ,INF732E01268
INFRATEL,EQ,INE121J01017
INFY,EQ,INE009A01021
INGERRAND,EQ,INE177A01018
INNOVATIVE,SM,INE070Y01015
INOXLEISUR,EQ,INE312H01016
INOXWIND,EQ,INE066P01011
INSECTICID,EQ,INE070I01018
INTELLECT,EQ,INE306R01017
INTENTECH,EQ,INE781A01025
INVENTURE,EQ,INE878H01016
IOB,EQ,INE565A01014
IOC,EQ,INE242A01010
IOLCP,EQ,INE485C01011
IPAPPM,EQ,INE435A01028
IPCALAB,EQ,INE571A01020
IRB,EQ,INE821I01014
IRBINVIT,IV,INE183W23014
IRFC,N1,INE053F07520
IRFC,N2,INE053F07538
IRFC,N4,INE053F07579
IRFC,N9,INE053F07678
IRFC,NA,INE053F07686
IRFC,NE,INE053F07744
IRFC,NJ,INE053F07835
IRFC,NK,INE053F07843
IRFC,NO,INE053F07900
ISFT,EQ,INE566K01011
ISMTLTD,EQ,INE732F01019
ITC,EQ,INE154A01025
ITDC,EQ,INE353K01014
ITDCEM,EQ,INE686A01026
ITI,EQ,INE248A01017
IVC,EQ,INE050B01023
IVP,EQ,INE043C01018
IVRCLINFRA,EQ,INE875A01025
IVZINGOLD,EQ,INF205K01361
IVZINNIFTY,EQ,INF205K01DA9
IZMO,BE,INE848A01014
J&KBANK,EQ,INE168A01041
JAGRAN,EQ,INE199G01027
JAGSNPHARM,EQ,INE048B01027
JAIBALAJI,EQ,INE091G01018
JAICORPLTD,EQ,INE070D01027
JALAN,SM,INE349X01015
JAMNAAUTO,EQ,INE039C01032
JASH,SM,INE039O01011
